date,gold
2014-12-01,1183.9000244140625
2015-01-01,1278.5
2015-02-01,1212.5999755859375
2015-03-01,1183.0999755859375
2015-04-01,1182.4000244140625
2015-05-01,1189.4000244140625
2015-06-01,1171.5
2015-07-01,1094.9000244140625
2015-08-01,1131.5999755859375
2015-09-01,1115.5
2015-10-01,1141.5
2015-11-01,1065.800048828125
2015-12-01,1060.300048828125
2016-01-01,1116.4000244140625
2016-02-01,1233.9000244140625
2016-03-01,1234.199951171875
2016-04-01,1289.199951171875
2016-05-01,1214.800048828125
2016-06-01,1318.4000244140625
2016-07-01,1349
2016-08-01,1306.9000244140625
2016-09-01,1313.300048828125
2016-10-01,1271.5
2016-11-01,1170.800048828125
2016-12-01,1150
2017-01-01,1208.5999755859375
2017-02-01,1252.5999755859375
2017-03-01,1247.300048828125
2017-04-01,1266.0999755859375
2017-05-01,1272
2017-06-01,1240.699951171875
2017-07-01,1266.5999755859375
2017-08-01,1316.199951171875
2017-09-01,1281.5
2017-10-01,1267
2017-11-01,1273.199951171875
2017-12-01,1306.300048828125
2018-01-01,1339
2018-02-01,1315.5
2018-03-01,1322.800048828125
2018-04-01,1316.199951171875
2018-05-01,1300.0999755859375
2018-06-01,1251.300048828125
2018-07-01,1223.699951171875
2018-08-01,1200.300048828125
2018-09-01,1191.5
2018-10-01,1212.300048828125
2018-11-01,1220.199951171875
2018-12-01,1278.300048828125
2019-01-01,1319.699951171875
2019-02-01,1312.800048828125
2019-03-01,1293
2019-04-01,1282.800048828125
2019-05-01,1305.800048828125
2019-06-01,1409.699951171875
2019-07-01,1426.0999755859375
2019-08-01,1519.0999755859375
2019-09-01,1465.699951171875
2019-10-01,1511.4000244140625
2019-11-01,1465.5999755859375
2019-12-01,1519.5
2020-01-01,1582.9000244140625
2020-02-01,1564.0999755859375
2020-03-01,1583.4000244140625
2020-04-01,1684.199951171875
2020-05-01,1736.9000244140625
2020-06-01,1793
2020-07-01,1962.800048828125
2020-08-01,1967.5999755859375
2020-09-01,1887.5
2020-10-01,1877.4000244140625
2020-11-01,1775.699951171875
2020-12-01,1893.0999755859375
2021-01-01,1847.300048828125
2021-02-01,1728.0999755859375
2021-03-01,1713.800048828125
2021-04-01,1767.300048828125
2021-05-01,1902.5
2021-06-01,1770.800048828125
2021-07-01,1812.5999755859375
2021-08-01,1815
2021-09-01,1755.300048828125
2021-10-01,1783
2021-11-01,1773.5999755859375
2021-12-01,1827.5
2022-01-01,1795
2022-02-01,1899.4000244140625
2022-03-01,1949.199951171875
2022-04-01,1909.300048828125
2022-05-01,1842.699951171875
2022-06-01,1804.0999755859375
2022-07-01,1762.9000244140625
2022-08-01,1712.800048828125
2022-09-01,1662.4000244140625
2022-10-01,1635.9000244140625
2022-11-01,1746
2022-12-01,1819.699951171875
2023-01-01,1929.5
2023-02-01,1828.9000244140625
2023-03-01,1969
2023-04-01,1990.0999755859375
2023-05-01,1963.9000244140625
2023-06-01,1921.0999755859375
2023-07-01,1970.5
2023-08-01,1938.199951171875
2023-09-01,1848.0999755859375
2023-10-01,1985.199951171875
2023-11-01,2038.0999755859375
2023-12-01,2062.39990234375
2024-01-01,2048.39990234375
2024-02-01,2045.699951171875
2024-03-01,2217.39990234375
2024-04-01,2291.39990234375
2024-05-01,2322.89990234375
2024-06-01,2327.699951171875
2024-07-01,2426.5
2024-08-01,2493.800048828125
2024-09-01,2636.10009765625
2024-10-01,2738.300048828125
2024-11-01,2657
2024-12-01,2629.199951171875
2025-01-01,2812.5
2025-02-01,2836.800048828125
2025-03-01,3122.800048828125
2025-04-01,3305
2025-05-01,3288.89990234375
2025-06-01,3294.39990234375
2025-07-01,3293.199951171875
2025-08-01,3473.699951171875
2025-09-01,3840.800048828125
2025-10-01,3982.199951171875
2025-11-01,4218.2998046875
2025-12-01,4325.60009765625
2026-01-01,4713.89990234375
2026-02-01,5230.5
2026-03-01,4647.60009765625
2026-04-01,4614.7001953125
2026-05-01,4560.5
2026-06-01,4022.89990234375
2026-07-01,4049.10009765625
2026-08-01,4366
