"","loan_status","loan_amnt","int_rate","grade","emp_length","home_ownership","annual_inc","age","emp_cat","ir_cat"
"1",0,5000,10.65,"B",10,"RENT",24000,33,"8+","8-11"
"2",0,2400,NA,"C",25,"RENT",12252,31,"8+","Missing"
"3",0,10000,13.49,"C",13,"RENT",49200,24,"8+","11-13.5"
"4",0,5000,NA,"A",3,"RENT",36000,39,"2-4","Missing"
"5",0,3000,NA,"E",9,"RENT",48000,24,"8+","Missing"
"6",0,12000,12.69,"B",11,"OWN",75000,28,"8+","11-13.5"
"7",1,9000,13.49,"C",0,"RENT",30000,22,"0-2","11-13.5"
"8",0,3000,9.91,"B",3,"RENT",15000,22,"2-4","8-11"
"9",1,10000,10.65,"B",3,"RENT",1e+05,28,"2-4","8-11"
"10",0,1000,16.29,"D",0,"RENT",28000,22,"0-2","13.5+"
"11",0,10000,NA,"C",4,"RENT",42000,23,"2-4","Missing"
"12",0,3600,6.03,"A",13,"MORTGAGE",110000,27,"8+","0-8"
"13",0,6000,NA,"B",1,"MORTGAGE",84000,30,"0-2","Missing"
"14",0,9200,6.03,"A",6,"RENT",77385.19,24,"4-8","0-8"
"15",1,21000,12.42,"B",17,"RENT",105000,29,"8+","11-13.5"
"16",0,10000,11.71,"B",13,"OWN",50000,23,"8+","11-13.5"
"17",0,10000,11.71,"B",5,"RENT",50000,22,"4-8","11-13.5"
"18",1,6000,11.71,"B",1,"RENT",76000,31,"0-2","11-13.5"
"19",0,15000,9.91,"B",2,"MORTGAGE",92000,23,"0-2","8-11"
"20",1,15000,14.27,"C",9,"RENT",60000,30,"8+","13.5+"
"21",0,4000,11.71,"B",19,"MORTGAGE",106000,27,"8+","11-13.5"
"22",0,8500,11.71,"B",0,"RENT",25000,24,"0-2","11-13.5"
"23",0,4375,7.51,"A",7,"MORTGAGE",17108,38,"4-8","0-8"
"24",0,31825,7.9,"A",5,"MORTGAGE",75000,23,"4-8","0-8"
"25",0,5000,8.9,"A",2,"RENT",24044,22,"0-2","8-11"
"26",0,7000,15.96,"C",7,"RENT",34000,27,"4-8","13.5+"
"27",0,12400,10.65,"B",18,"RENT",41000,36,"8+","8-11"
"28",0,10800,9.91,"B",2,"RENT",55596,35,"0-2","8-11"
"29",0,15000,7.9,"A",1,"RENT",45000,23,"0-2","0-8"
"30",0,6000,12.42,"B",1,"RENT",36852,25,"0-2","11-13.5"
"31",0,9600,7.51,"A",4,"RENT",68004,22,"2-4","0-8"
"32",0,12000,7.9,"A",15,"RENT",62300,25,"8+","0-8"
"33",0,3000,18.25,"D",9,"MORTGAGE",65000,26,"8+","13.5+"
"34",0,4400,16.77,"D",17,"RENT",55000,24,"8+","13.5+"
"35",0,6000,6.03,"A",17,"MORTGAGE",45600,21,"8+","0-8"
"36",0,14000,NA,"B",6,"RENT",80000,26,"4-8","Missing"
"37",1,5000,8.9,"A",17,"MORTGAGE",1e+05,27,"8+","8-11"
"38",0,10000,10.65,"B",6,"RENT",27000,23,"4-8","8-11"
"39",0,10000,NA,"A",11,"RENT",60000,37,"8+","Missing"
"40",0,11000,6.62,"A",5,"RENT",70000,26,"4-8","0-8"
"41",1,15000,9.91,"B",8,"MORTGAGE",80000,26,"4-8","8-11"
"42",0,25600,NA,"B",9,"RENT",110000,29,"8+","Missing"
"43",0,7000,10.65,"B",0,"RENT",40000,22,"0-2","8-11"
"44",1,12000,15.96,"C",4,"RENT",50000,29,"2-4","13.5+"
"45",0,12000,9.91,"B",1,"RENT",46000,38,"0-2","8-11"
"46",0,10000,12.42,"B",0,"OWN",39000,33,"0-2","11-13.5"
"47",0,10000,10.65,"B",2,"RENT",51400,23,"0-2","8-11"
"48",0,7100,16.77,"D",1,"MORTGAGE",33000,29,"0-2","13.5+"
"49",0,8000,NA,"D",0,"RENT",62000,29,"0-2","Missing"
"50",0,3500,10.65,"B",7,"MORTGAGE",55000,33,"4-8","8-11"
"51",0,16425,14.27,"C",4,"RENT",44544,27,"2-4","13.5+"
"52",0,15000,14.65,"C",2,"OWN",61000,25,"0-2","13.5+"
"53",1,6400,16.77,"D",5,"RENT",75000,35,"4-8","13.5+"
"54",0,3000,13.49,"C",1,"RENT",33600,27,"0-2","11-13.5"
"55",0,12000,16.77,"D",3,"RENT",50000,25,"2-4","13.5+"
"56",0,14400,8.9,"A",0,"OWN",150000,25,"0-2","8-11"
"57",0,12000,14.65,"C",18,"RENT",90000,28,"8+","13.5+"
"58",0,11000,13.49,"C",23,"MORTGAGE",48000,26,"8+","11-13.5"
"59",0,15000,NA,"A",1,"MORTGAGE",52000,37,"0-2","Missing"
"60",0,10000,14.27,"C",2,"RENT",68000,29,"0-2","13.5+"
"61",0,11800,12.69,"B",6,"RENT",42000,23,"4-8","11-13.5"
"62",0,4500,6.03,"A",4,"RENT",53000,40,"2-4","0-8"
"63",0,7000,12.69,"B",12,"RENT",35000,24,"8+","11-13.5"
"64",0,9200,12.42,"B",2,"RENT",60000,27,"0-2","11-13.5"
"65",0,12000,16.29,"D",9,"RENT",88365,28,"8+","13.5+"
"66",0,12000,13.49,"C",4,"RENT",72000,28,"2-4","11-13.5"
"67",0,12000,10.65,"B",0,"RENT",62000,28,"0-2","8-11"
"68",0,7000,10.65,"B",3,"MORTGAGE",43680,27,"2-4","8-11"
"69",0,10500,12.69,"B",11,"RENT",66000,31,"8+","11-13.5"
"70",0,7000,11.71,"B",4,"OWN",39120,23,"2-4","11-13.5"
"71",0,3500,6.03,"A",11,"MORTGAGE",83000,27,"8+","0-8"
"72",1,6200,9.91,"B",2,"RENT",25000,36,"0-2","8-11"
"73",0,6000,8.9,"A",8,"OWN",28800,26,"4-8","8-11"
"74",0,7200,9.91,"B",6,"RENT",135000,25,"4-8","8-11"
"75",0,9500,8.9,"A",7,"MORTGAGE",50000,27,"4-8","8-11"
"76",0,24000,10.65,"B",15,"RENT",45000,40,"8+","8-11"
"77",0,6000,NA,"C",30,"RENT",80000,32,"8+","Missing"
"78",0,6000,13.49,"C",5,"RENT",50000,29,"4-8","11-13.5"
"79",0,2100,12.42,"B",21,"MORTGAGE",30000,48,"8+","11-13.5"
"80",0,5500,6.62,"A",8,"MORTGAGE",110000,25,"4-8","0-8"
"81",0,11000,6.62,"A",8,"OWN",45608,26,"4-8","0-8"
"82",0,8000,12.69,"B",5,"MORTGAGE",35000,35,"4-8","11-13.5"
"83",1,10000,18.25,"D",1,"RENT",75000,24,"0-2","13.5+"
"84",0,8000,11.71,"B",9,"MORTGAGE",35000,24,"8+","11-13.5"
"85",0,10000,8.9,"A",6,"RENT",24000,33,"4-8","8-11"
"86",0,12000,11.71,"B",2,"MORTGAGE",126000,28,"0-2","11-13.5"
"87",0,10000,7.9,"A",1,"RENT",43000,37,"0-2","0-8"
"88",0,12000,NA,"B",1,"RENT",50000,26,"0-2","Missing"
"89",1,19750,10.65,"B",4,"RENT",45000,42,"2-4","8-11"
"90",0,10000,9.91,"B",3,"RENT",31200,25,"2-4","8-11"
"91",0,13650,12.42,"B",4,"RENT",66000,45,"2-4","11-13.5"
"92",0,18000,NA,"A",12,"RENT",56964,29,"8+","Missing"
"93",0,2500,14.27,"C",7,"RENT",49500,22,"4-8","13.5+"
"94",0,35000,8.9,"A",6,"MORTGAGE",125000,23,"4-8","8-11"
"95",0,10000,7.51,"A",3,"RENT",33000,25,"2-4","0-8"
"96",0,7000,12.69,"B",0,"RENT",30000,23,"0-2","11-13.5"
"97",1,24000,15.96,"C",8,"MORTGAGE",90000,24,"4-8","13.5+"
"98",0,10625,7.51,"A",5,"MORTGAGE",23000,22,"4-8","0-8"
"99",0,5000,14.65,"C",2,"RENT",24000,37,"0-2","13.5+"
"100",0,8850,6.62,"A",17,"RENT",62000,24,"8+","0-8"
"101",0,6375,NA,"A",4,"RENT",44000,25,"2-4","Missing"
"102",0,6000,11.71,"B",1,"RENT",90000,27,"0-2","11-13.5"
"103",1,11100,6.62,"A",30,"RENT",41000,38,"8+","0-8"
"104",0,6200,6.03,"A",5,"MORTGAGE",26500,44,"4-8","0-8"
"105",0,15000,18.64,"E",1,"RENT",54000,26,"0-2","13.5+"
"106",0,4200,11.71,"B",2,"RENT",53000,35,"0-2","11-13.5"
"107",0,14000,14.27,"C",4,"RENT",52800,23,"2-4","13.5+"
"108",0,8875,7.51,"A",1,"MORTGAGE",38000,26,"0-2","0-8"
"109",0,13500,9.91,"B",7,"RENT",38000,21,"4-8","8-11"
"110",1,12000,9.91,"B",2,"RENT",42000,24,"0-2","8-11"
"111",0,6000,10.65,"B",6,"MORTGAGE",87000,24,"4-8","8-11"
"112",1,10000,11.71,"B",8,"RENT",60000,46,"4-8","11-13.5"
"113",0,12000,16.29,"D",5,"MORTGAGE",80000,26,"4-8","13.5+"
"114",0,7200,12.42,"B",5,"RENT",48000,22,"4-8","11-13.5"
"115",1,5600,14.65,"C",1,"MORTGAGE",85000,24,"0-2","13.5+"
"116",0,12000,NA,"C",0,"RENT",57000,23,"0-2","Missing"
"117",0,8500,6.03,"A",2,"RENT",25000,23,"0-2","0-8"
"118",0,8000,9.91,"B",2,"RENT",34000,22,"0-2","8-11"
"119",0,8000,12.42,"B",14,"RENT",40000,25,"8+","11-13.5"
"120",0,15000,17.27,"D",2,"MORTGAGE",44400,23,"0-2","13.5+"
"121",0,10000,9.91,"B",2,"OWN",30000,32,"0-2","8-11"
"122",0,10000,6.62,"A",5,"MORTGAGE",70000,23,"4-8","0-8"
"123",0,8000,14.65,"C",3,"RENT",28000,25,"2-4","13.5+"
