Identifier (RIC),Company Name,Exchange Name,Market Cap,IPO Date,Ticker Symbol,Trading Symbol,"Price Close
(USD)"
FLWS.OQ,"1-800-FLOWERS.COM, Inc.",Nasdaq Stock Exchange Global Select Market,"239,728,326.42",03/08/1999,FLWS,FLWS,3.74
SRCE.OQ,1st Source Corp,Nasdaq Stock Exchange Global Select Market,"2,075,130,946.42",12/08/1983,SRCE,SRCE,86.17
DDD.N,3D Systems Corp,New York Stock Exchange,"548,285,189.10",26/03/2011,DDD,DDD,3.30
MMM.N,3M Company,New York Stock Exchange,"92,830,035,060.00",14/01/1946,MMM,MMM,178.83
EGHT.OQ,8x8 Inc,Nasdaq Stock Exchange Global Select Market,"274,427,451.90",02/07/1997,EGHT,EGHT,1.90
AOS.N,A. O. Smith Corporation,New York Stock Exchange,"8,491,567,641.04",30/09/1983,AOS,AOS,62.48
ATEN.N,A10 Networks Inc,New York Stock Exchange,"1,879,847,553.69",21/03/2014,ATEN,ATEN,25.89
AAON.OQ,"AAON, Inc.",Nasdaq Stock Exchange Global Select Market,"6,578,151,319.42",03/01/1991,AAON,AAON,79.78
AIR.N,AAR CORP.,New York Stock Exchange,"5,579,070,047.20",22/05/1981,AIR,AIR,138.58
ABT.N,Abbott Laboratories,New York Stock Exchange,"197,436,734,073.60",01/03/1937,ABT,ABT,114.10
ABBV.N,AbbVie Inc.,New York Stock Exchange,"464,575,134,226.50",02/01/2013,ABBV,ABBV,262.90
ANF.N,Abercrombie & Fitch Co.,New York Stock Exchange,"6,564,785,152.50",26/09/1996,ANF,ANF,147.75
MGF.N,Aberdeen Government Markets Income Fund,New York Stock Exchange,"92,556,148.12",20/05/1987,MGF,MGF,2.90
IFN.N,Aberdeen India Fund Inc,New York Stock Exchange,"489,217,866.50",10/07/1986,IFN,IFN,11.47
MIN.N,Aberdeen Intermediate Income Fund,New York Stock Exchange,"277,667,700.72",11/03/1988,MIN,MIN,2.45
MMT.N,Aberdeen Multi-market Income Fund,New York Stock Exchange,"516,170,968.20",05/03/1987,MMT,MMT,4.44
MFM.N,Aberdeen Municipal Income Fund,New York Stock Exchange,"533,938,020.63",20/11/1986,MFM,MFM,5.39
ABM.N,ABM Industries Inc,New York Stock Exchange,"2,798,410,691.71",08/11/1971,ABM,ABM,47.77
AGD.N,abrdn Global Dynamic Dividend Fund,New York Stock Exchange,"323,514,854.76",26/07/2006,AGD,AGD,12.36
AWP.N,abrdn Global Premier Properties Fund,New York Stock Exchange,"363,788,078.13",26/04/2007,AWP,AWP,11.79
HQH.N,abrdn Healthcare Investors,New York Stock Exchange,"1,337,726,400.04",23/04/1987,HQH,HQH,23.39
THQ.N,abrdn Healthcare Opportunities Fund,New York Stock Exchange,"820,461,985.20",25/07/2014,THQ,THQ,19.71
ACP.N,abrdn Income Credit Strategies Fund,New York Stock Exchange,"629,862,803.56",27/01/2011,ACP,ACP,5.02
HQL.N,abrdn Life Sciences Investors,New York Stock Exchange,"654,685,251.91",01/05/1992,HQL,HQL,21.53
AOD.N,abrdn Total Dynamic Dividend Fund,New York Stock Exchange,"1,120,052,605.14",26/01/2007,AOD,AOD,10.62
THW.N,abrdn World Healthcare Fund,New York Stock Exchange,"568,459,810.08",26/06/2015,THW,THW,14.02
ACTG.OQ,Acacia Research Corporation,Nasdaq Stock Exchange Global Select Market,"438,164,754.45",05/07/1995,ACTG,ACTG,4.49
ACHC.OQ,"Acadia Healthcare Company, Inc.",Nasdaq Stock Exchange Global Select Market,"2,847,006,409.50",01/11/2011,ACHC,ACHC,30.58
ACAD.OQ,Acadia Pharmaceuticals Inc.,Nasdaq Stock Exchange Global Select Market,"5,096,797,222.44",27/05/2004,ACAD,ACAD,29.58
AKR.N,Acadia Realty Trust,New York Stock Exchange,"2,894,973,779.76",27/05/1993,AKR,AKR,21.08
AAMI.N,Acadian Asset Management Inc.,New York Stock Exchange,"3,394,630,743.20",09/10/2014,AAMI,AAMI,95.65
